ID,MonthlyIncome
871,5738.002793
872,2642.028684
873,11889.81031
874,2008.717448
875,2334.277655
876,6189.030674
877,5069.667869
878,1691.145698
879,2354.165155
880,12665.48471
881,9524.733946
882,2388.044145
883,6098.981695
884,5648.935333
885,6482.686267
886,6189.757843
887,6097.465054
888,6180.827825
889,5095.746651
890,2785.711535
891,5564.315242
892,8472.403221
893,8616.657087
894,5488.2059
895,9916.102149
896,9052.873342
897,8383.701316
898,15350.30378
899,5996.275147
900,2763.915494
901,2522.045144
902,5856.112282
903,6431.454511
904,2913.170747
905,16712.56801
906,5615.372826
907,9719.263193
908,6258.34673
909,2594.110178
910,2589.841228
911,18889.80919
912,2851.518575
913,2533.625289
914,13433.97811
915,6208.972595
916,4855.771555
917,2755.495472
918,5741.493627
919,2279.303767
920,2924.130305
921,2440.463768
922,2626.618229
923,5344.474634
924,5001.587014
925,16719.55359
926,2569.173399
927,5801.946875
928,13107.02537
929,1890.316406
930,2494.108838
931,5766.837145
932,13190.43763
933,8490.003002
934,2256.300573
935,2317.579534
936,2026.761438
937,9384.299766
938,9149.37078
939,5633.138687
940,2824.656764
941,2986.69318
942,9089.41503
943,9736.236438
944,6433.949911
945,2370.659614
946,6035.059926
947,2443.569519
948,2577.820025
949,2389.340045
950,5498.54349
951,2365.026312
952,5752.991958
953,6146.428394
954,2393.986565
955,4754.694975
956,7891.831829
957,10415.34402
958,2257.74008
959,9291.373323
960,19946.88829
961,2644.991663
962,5528.558786
963,6309.597118
964,5525.893743
965,2599.792028
966,19604.63158
967,2428.857001
968,9082.518969
969,16777.07964
970,2543.279761
971,5804.260137
972,6389.19056
973,2288.733586
974,2659.608501
975,6172.762181
976,2590.376427
977,6752.420016
978,2366.9895
979,8757.380433
980,19134.48987
981,2569.715395
982,9187.35271
983,2931.886017
984,2814.550238
985,6011.956574
986,2462.135203
987,2521.421745
988,5631.502703
989,9196.401017
990,2690.250015
991,5860.878639
992,2581.338279
993,5935.387825
994,5586.151236
995,5045.591205
996,5722.587843
997,2613.631173
998,17300.42354
999,8655.526105
1000,1892.05239
1001,5848.562892
1002,5255.207209
1003,5462.866775
1004,6938.560417
1005,3088.127406
1006,5945.504067
1007,2802.236827
1008,6168.756376
1009,19303.09911
1010,5685.407443
1011,8930.862813
1012,5872.55582
1013,6183.352043
1014,5011.505352
1015,5434.070435
1016,2541.529084
1017,2721.034747
1018,8531.599924
1019,9180.188629
1020,1934.580806
1021,6019.822866
1022,5520.434805
1023,5538.383886
1024,9984.653491
1025,16117.40581
1026,18134.24344
1027,5417.212815
1028,5760.67184
1029,5766.04842
1030,9281.752083
1031,5623.031485
1032,2745.213019
1033,12698.56617
1034,2544.617268
1035,4531.524323
1036,2497.650517
1037,5439.047277
1038,8782.633256
1039,13003.01554
1040,6095.362942
1041,1901.640107
1042,2948.797684
1043,8838.175393
1044,6507.976687
1045,2317.562796
1046,2309.29094
1047,6220.97245
1048,12820.51344
1049,2603.082932
1050,5798.53923
1051,10087.18431
1052,2175.274429
1053,6522.813461
1054,3036.978208
1055,2621.167916
1056,2547.994724
1057,6213.229392
1058,15977.19827
1059,6165.839378
1060,2931.465273
1061,5606.577691
1062,6207.433775
1063,6487.639671
1064,2102.747843
1065,5878.704498
1066,2511.203504
1067,3665.102449
1068,19629.88907
1069,5367.549466
1070,2561.430535
1071,2839.985816
1072,6251.79386
1073,2539.563312
1074,6099.072893
1075,6013.398411
1076,17007.21256
1077,19194.79754
1078,5003.939971
1079,5529.342774
1080,5534.031785
1081,3255.093286
1082,2648.128351
1083,2219.121682
1084,6189.750228
1085,8178.547772
1086,8340.508039
1087,5948.055378
1088,2606.322172
1089,2702.249646
1090,5727.931338
1091,5554.867045
1092,5712.828642
1093,12553.4141
1094,5635.33406
1095,5460.346132
1096,6275.6471
1097,3406.159849
1098,2466.93098
1099,2641.511117
1100,6114.332909
1101,19172.78057
1102,5822.159189
1103,6134.646795
1104,9909.213514
1105,2751.932209
1106,2577.290551
1107,3001.29114
1108,5517.540469
1109,5487.369605
1110,5651.862998
1111,5749.633601
1112,13309.37532
1113,13317.51313
1114,6065.871752
1115,9826.217986
1116,2982.235641
1117,6794.443606
1118,5219.323823
1119,9806.042096
1120,2610.440908
1121,9013.203931
1122,16178.68783
1123,5615.531306
1124,16032.77404
1125,2656.535773
1126,1982.547781
1127,2528.898215
1128,5120.021966
1129,16237.68331
1130,2431.436837
1131,12926.0211
1132,16688.77705
1133,6478.38014
1134,1913.990917
1135,2599.174333
1136,2502.861403
1137,2837.84633
1138,5955.831388
1139,8709.003717
1140,15857.4949
1141,6306.581882
1142,6016.814418
1143,9932.213801
1144,5628.376454
1145,5530.587123
1146,5662.921323
1147,5135.104878
1148,2373.283354
1149,2868.091334
1150,6649.37238
1151,2273.572273
1152,5539.008682
1153,5721.40646
1154,2305.616871
1155,6462.160955
1156,12379.12648
1157,2560.078027
1158,5680.052542
1159,2628.68622
1160,5986.403824
1161,2770.920345
1162,8921.501238
1163,2292.196506
1164,9167.158112
1165,2486.318074
1166,1808.7917
1167,9464.94044
1168,5823.473143
1169,2773.230008
1170,2340.526502
